Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Unidade Ativa;Conta Vinculada
124253636;91.00.13.00.00.000;True;True;False;False
C22G0005541;91.00.13.00.00.000;False;False;False;False
10978399;000097.000005.000001.000000.000000.000000;False;False;False;False
11004720;000091.000005.000000.000000.000000.000000;False;False;False;False
709883;000085.000000.000000.000000.000000.000000;False;False;False;False
1062981;000085.000006.000004.000000.000000.000000;False;False;False;False
139713531;000085.000006.000000.000000.000000.000000;False;False;False;False
14624516;86.00.00.00.00.000;True;True;False;False
1679511;86.00.00.00.00.000;True;True;False;False
3679503;86.00.00.00.00.000;False;False;False;False
10980148;000048.000003.000002.000003.000000.000000;True;False;False;False
12870404;000091.000005.000000.000000.000000.000000;False;False;False;False
11003847;000091.000005.000002.000003.000000.000000;False;False;False;False
